STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NAME_y,GEO_ID,white_popu,non-hispan,black_popu,asian_popu,hispanic_p,total_popu,median_hou,per_capita,built_age,less_highs,bachelor,totaleduca,male_und18,female_und,male65_66,male67_69,male70_74,male75_79,male80_84,male85_,fema_65_66,fema_67_69,fema70_74,fema75_79,fema80_84,fema85_,state,county,tract
42,101,014500,42101014500,145,Census Tract 145,G5020,S,321465,0,+39.9760715,-075.1484189,"Census Tract 145, Philadelphia County, Pennsylvania",1400000US42101014500,196,45,1309,32,331,1694,18565,16495,684,274,148,1033,323,167,16,18,31,6,6,14,25,46,33,7,17,28,42,101,014500
42,101,031200,42101031200,312,Census Tract 312,G5020,S,429735,0,+40.0354204,-075.0774550,"Census Tract 312, Philadelphia County, Pennsylvania",1400000US42101031200,1186,610,2826,671,1339,5590,42566,18531,1760,1016,262,3415,869,872,8,22,109,20,21,6,42,63,202,48,0,11,42,101,031200
42,101,021800,42101021800,218,Census Tract 218,G5020,S,1006008,0,+40.0575323,-075.2323589,"Census Tract 218, Philadelphia County, Pennsylvania",1400000US42101021800,2785,2764,1592,278,170,5239,57135,32183,2370,213,1112,3573,452,644,64,79,70,15,12,18,0,84,55,98,27,17,42,101,021800
42,101,009100,42101009100,91,Census Tract 91,G5020,S,425574,0,+39.9594179,-075.1977245,"Census Tract 91, Philadelphia County, Pennsylvania",1400000US42101009100,1158,1076,1013,723,108,3075,26426,26835,1805,270,612,2155,42,57,35,8,61,127,48,10,62,33,131,42,42,53,42,101,009100
42,101,033600,42101033600,336,Census Tract 336,G5020,S,1153477,0,+40.0614797,-075.0592347,"Census Tract 336, Philadelphia County, Pennsylvania",1400000US42101033600,5271,4545,894,545,936,7070,45990,23496,2951,594,1057,4925,781,741,54,119,33,64,103,0,74,86,80,28,72,48,42,101,033600
42,101,004202,42101004202,42.02,Census Tract 42.02,G5020,S,453345,0,+39.9168570,-075.1516284,"Census Tract 42.02, Philadelphia County, Pennsylvania",1400000US42101004202,3947,3562,144,1103,546,5530,51563,21001,1916,1007,440,4101,579,496,37,69,76,55,47,26,79,85,100,106,88,149,42,101,004202
42,101,016800,42101016800,168,Census Tract 168,G5020,S,581132,0,+39.9917812,-075.1676550,"Census Tract 168, Philadelphia County, Pennsylvania",1400000US42101016800,163,161,2980,0,11,3239,14704,13614,1943,398,92,2121,335,392,28,33,59,11,35,0,7,39,32,48,42,62,42,101,016800
42,101,007000,42101007000,70,Census Tract 70,G5020,S,469047,0,+39.9351850,-075.2214770,"Census Tract 70, Philadelphia County, Pennsylvania",1400000US42101007000,83,75,3169,48,8,3307,31556,18498,1823,423,141,2282,413,253,8,39,7,23,20,7,52,85,115,127,27,24,42,101,007000
42,101,029100,42101029100,291,Census Tract 291,G5020,S,1328197,17275,+40.0374996,-075.1067520,"Census Tract 291, Philadelphia County, Pennsylvania",1400000US42101029100,673,249,2061,1270,1550,5048,25905,14482,1676,1146,344,2896,639,879,52,3,26,30,0,19,23,44,37,27,80,7,42,101,029100
42,101,980100,42101980100,9801,Census Tract 9801,G5020,S,5348360,241117,+40.0509585,-075.2149160,"Census Tract 9801, Philadelphia County, Pennsylvania",1400000US42101980100,24,24,0,0,0,24,-666666666,47325,8,0,6,20,0,4,6,0,0,0,0,0,0,4,0,0,0,0,42,101,980100
